#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	55.66613
k__Bacteria|p__Proteobacteria	17.55949
k__Bacteria|p__Fusobacteria	15.11969
k__Bacteria|p__Spirochaetes	8.28765
k__Bacteria|p__Actinobacteria	2.49894
k__Bacteria|p__Bacteroidetes	0.86811
k__Bacteria|p__Firmicutes|c__Bacilli	53.10214
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	15.11969
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14.01717
k__Bacteria|p__Spirochaetes|c__Spirochaetia	8.28765
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.54232
k__Bacteria|p__Firmicutes|c__Clostridia	2.56399
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.49894
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.86811
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	45.09245
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	15.11969
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	14.01717
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	8.28765
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	8.0097
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.56399
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.93316
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	1.9329
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1.59635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.86811
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.56604
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.01282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	31.06657
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	15.11969
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	14.02587
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	14.01717
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	8.28765
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	4.80024
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	3.20946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.56399
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.93316
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	1.9329
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	1.59635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.86811
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0.56604
